ID,Text,Sentiment
17,b'WATCH NOW!\nLEADERSHIP AMID CRISIS: Helping Ukraine Win the War - Introduction\n#Ukraine #UkraineRussianWar #UkraineWar #UkraineUnderAtta\xd1\x81k #UkraineCrisis #Ukrainian \nhttps://t.co/J5cyujjFFQ',1
18,"b""@Nguye_Simelane @billroggio @GeromanAT @TaskandPurpose @mod_russia Battle knowledge doesn't help dead Russian troops, pal.\n\nUsing up $6.5m scarce cruise missiles on civilian airports probably not the best use of the money either.\n\nWe're going to take #Russia's economy back to the #StoneAge for this - for a generation or more.\n\n#SanctionRussiaNow""",0
19,b'World War Z\n\n#Ukraine #Russia \n https://t.co/egy7DAUvWE',0
20,"b""Look back last 26 days. Russian\xf0\x9f\x87\xb7\xf0\x9f\x87\xba Federation Military efforts in freeing breakaway state, Ukraine from it's extremists. #Donbass #Russia\nhttps://t.co/OPlWgyuMZO""",1
21,"b'@visegrad24 Jesus Christ, what a jerks #Russia is giving to the world!'",0
22,"b'Meanwhile, in the nuclear superstate, grandmothers are eating pigeons. #Russia https://t.co/QOsTl48T3X'",0
23,"b'Russian serviceman surrenders tank to Ukraine after Kyiv offers $10,000 reward, citizenship prospects\n #Ukraine #Russia \nhttps://t.co/x8RvQKqB8G'",0
24,"b'Russian serviceman surrenders tank to Ukraine after Kyiv offers $10,000 reward, citizenship prospects\n #Ukraine #Russia \nhttps://t.co/1sL6qM9xP7'",0
25,b'Selling TB2 to #Ukraine while sponsoring @Aeroflot_World https://t.co/O3XstR2M8i',0
26,"b'New York Times: ""Ukraine\xe2\x80\x99s Unyielding Corruption""\n\n@RepCawthorn \n\nhttps://t.co/440h6rbofi\n\n#avl #avlnews #ncpol #ncgov #Ukraine #MigsforUkraine'",0
27,"b""\xf0\x9f\x9a\x9c Ukrainian farmers' troops can boast another trophy from the ruscists.\n\n #WARINUKRAINE #Stoprussia #WarCrimes #StopWar #StoprussianAgression  #UkrainerussianWar  #UkraineWar #Ukraine  #Russian #GenocideOfUkrainians #PutinHitler #war #GodWithUkrainian #StandWithUkrainian #Kiev https://t.co/Y6fei9lSMx""",1
28,"b'When @griffen_ed of @MedChemica first made contact with @Enamine, it was to collaborate on the @DNDi @covid_moonshot project. Now he\xe2\x80\x99s communicating with colleagues in a warzone.\n\nDiscover how the Russian invasion has disrupted drug discovery in #Ukraine\nhttps://t.co/PwDslmtutx https://t.co/Mb2L3xXC8l'",1
29,b'Belarusian equipment on the border with Ukraine.\n\n#Ukraine #StandWithUkraine #RussiaInvadedUkraine #StopRussia #StopPutin #RussianUkrainianWar #PutinWarCrimes #PutinWarCriminal https://t.co/4mLZ00PyKW',0
30,"b""#BREAKING\nUS State Dept issues readout of Deputy Sec State #WendySherman's conversation today with European counterparts re: #Russia's invasion of #Ukraine.\n\nParticipating on call (non-US):\n\xe2\x80\xa2 #France\n\xe2\x80\xa2 #Germany\n\xe2\x80\xa2 #Italy\n\xe2\x80\xa2 #UK\n\n#Putin #Zelensky #Belarus https://t.co/WoWSggpvJT""",0
31,b'Wheat prices. The good part - India has surplus stocks and is expecting a bumper harvest #Ukraine https://t.co/gRKsqHGD4t',1
32,"b""If Zelensky's army can't get out here soon - they will be Z\n\xe2\x9a\xa1\xe2\x9a\xa1\xe2\x9a\xa1\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x98\xb5\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n#Ukraine \n#UkraineRussiaWar  \n#Russia \n\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\nhttps://t.co/iGHLp1zX6r""",0
33,b'Trifling #Republicans using this hearing trying to absolve themselves from their role  from participating in the Jan 6th #Insurrection and colluding with #Russia just makes it more obv that these \xe2\x80\x9cpublic servants\xe2\x80\x9d are the real threat to our democracy #JudgeKetanjiBrownJackson',0
34,"b""PM of #Georgia calls pro-Ukrainian rallies anti-state and unacceptable. He's also suing the President for European trips to support #Ukraine. @SecBlinken @vonderleyen @JosepBorrellF sanction #Georgia's Russian oligarch! https://t.co/wZkxDEDQz8""",0
35,b'Probably not what Moscow expected when it send troops into Ukraine. #Ukraine\xef\xb8\x8f #Ukraine https://t.co/Ta3HgqSUC0',0
36,b'This is what #putin is doing to the brave people of #Ukraine #ClosetheSkyoverUkraine #StopRussia https://t.co/CmptM4CVlS',1
37,b'@anders_aslund This is how #Russia is \xe2\x80\x9edenazifying\xe2\x80\x9d #Ukraine:\n\nhttps://t.co/AFRzMPQtix\n\nhttps://t.co/bhGFmE4IlN\n\n#WarCrime #PutinWarCriminal https://t.co/omRmig30s3',1
38,"b""Residents of #Odessa threaten the Armed Forces of #Ukraine. The #Ukrainian army was going to blow up the people's bridge, which was built for 15 years and for which they collected money and built it with all local forces. https://t.co/5yGMNnBauj""",0
39,b'@rovercrc 1. Buy #SKUY #SEKUYA @sekuyaofficial \n2. Hodl enjoy reflection + autoburn\n3. Repeat\n\n#Crypto Is Financial Freedom \xf0\x9f\xa5\xa6\xf0\x9f\xa5\xa6\nThe Future is #Multiverse \n\n#Multiverse\n#BTC #Binance\n#SKUYARMY #Putin #Russia #Bitcoin #Metaverse #cryptocurrency  #RussiaUkraineWar \nhttps://t.co/LrMKQxTfDG',1
40,b'It\xe2\x80\x99s a piece of heart-breaking news for the Daddy Yankee fans as the legendary artiste has made his formal retirement announcement from music. Read more on GrooveNexus.\n\xc2\xa0\n#RussiaUkrainewar #Devo #fundraising #ukraine #MusicsavesUA #WorldCentralKitchen\n\nhttps://t.co/vFHpRQaV0A',0
41,b'#Ucrania #Ukraine #Ucraina #Ukrania #UkraineWar ucronazi\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 Su-25 destroyed\xf0\x9f\x92\xa5 by Russian\xf0\x9f\x87\xb7\xf0\x9f\x87\xba army. https://t.co/oKRMbbNa79',0
42,b'#Ukraine is governed by declared #Nazis and the whole western world stands with them. https://t.co/2EtHxBoleA',1
43,b'Paid a visit to the shrine of St Volodymyr this afternoon. #ukraine https://t.co/meOqKsaQWZ https://t.co/6PsEMyYqVP',1
44,"b'The West, especially #USA is responsible for what is happening in #Ukraine today.\n\nA nation should not be sacrificed for the evil US imperialism. Sweden refused to join NATO because it is against the security of that country.\n\n@RusEmbNigeria @_SJPeace_ @georgegalloway @mfa_russia https://t.co/nknMH5N6rc'",0
45,"b""Donbass-Documentary by French journalist Anne-Laure Bonnel - 8 Years of War\nRemember when the liberty movement was phrasing authoritarian president Zelensky and remember when y'all fell for all the propaganda that was coming out? \n https://t.co/XUI81P3rvM #Ukraine #NaziUkraine""",0
46,"b'\xf0\x9f\xa4\x94Looks like a photo montage? No?\n But this is precisely what the government of aggressive russia claims! \n Allegedly, they do not destroy civilian houses.  \nYes, yes, we see, the whole world sees ...\n\n#russiaaggression #russianwar #russia #bloodytrade https://t.co/gI4mibNSch'",0
47,b'Wealth of Western-sanctioned Russian oligarchs totals $118B!\n\n#Russia #Ukraine #RussiaUkraineWar https://t.co/66xhH42XVW',1
48,"b""In other news...#Canada doesn't seem to be a #Democracy any more. This is just like #Russia and #Putin. https://t.co/30XAxl7S0P""",0
49,b'Every day that passes #Russia wages an illegal war upon a peaceful neighbour. Join the urgent call for a new #NurembergTribunal to investigate #Putin and his cronies for the international crime of #aggression. #StandWithUkraine Sign &amp; RT: https://t.co/0c4omby2Zi',0
50,b'@M_Simonyan Poor chields #Ukraine then. #RussianArmy will kill them. #RussianArmy no have foot and stolen food in commerces and homes. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb',0
51,b'I stand with #AlekseiNavalny. The #Putin regime cannot survive its failures in #Ukraine. @KremlinRussia_E https://t.co/ex0qLZIHhu',0
52,"b'GDP of NATO countries: $42.7 trillion\nRussia: $1.5 trillion\n\nAnnual NATO military spending: $2.32 trillion\nRussia: $0.07 trillion\n\nMilitary spending by #NATO exceeds the entire GDP of #Russia.\n\n(But tell me again how Russia is ""imperialist"" and NATO is a ""defensive alliance."")'",0
53,b'#patriots as they are \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \xf0\x9f\x9a\xae  #Russia in one photo . https://t.co/PpvcDqXcMh',1
54,"b'This mother has got a name of Ukrainian Madonna \xf0\x9f\x92\x94\n\nThe woman has covered her baby with her body during the shelling in Kyiv. Mother received 24 wounds from the shattered glass, but her daughter miraculously remained unhurt. https://t.co/pjzlk7gnAi\n\n#Ukraine https://t.co/VY486uUrtd'",0
55,b'#Russian terrorists keep steeling humanitarian aid for #Ukrainian civilians. #Russia isn\xe2\x80\x99t feeding you so well guys? @nytimes @cnni @RedCrossUkraine https://t.co/77moDx74Y1',0
56,b'Nationalism goes back into fashion with certain exceptions  https://t.co/fk6Gvu8r16 #History #Israel #Jewish #Nationalism #Ukraine',1
57,"b""#Russia doesn't want to ruin #Ukraine. Russia wants to ruin the world.\n\nSounds crazy?\n\nCheck this out: https://t.co/niatlUeN9G""",0
58,"b'Do you still believe that Russia\'s \xf0\x9f\x87\xb7\xf0\x9f\x87\xba war against Ukraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 is a ""local conflict"" and nothing treatens Europe \xf0\x9f\x87\xaa\xf0\x9f\x87\xba? #Ukraine #Russia #Europe https://t.co/LIBZhTnbJ0'",0
59,b'Veterans Join Fight To Rescue #Animals From War In #Ukraine https://t.co/P1upU8ivjc https://t.co/ejLALTTLWz',0
60,"b""An important summit and talks as #Egypt, #Israel &amp; #UAE are all #Russia's important partners in the region &amp; at the same time US allies who did not succumb to its pressure to join anti-Rus sanctions.\nTalks on the highest level indicate importance of the issues the leaders discuss""",0
61,"b'\xf0\x9f\x92\x99\xf0\x9f\x92\x9b Join us this Thursday evening (24 March) @SainsburyCentre for an evening of art, creativity and solidarity in support of the people of #Ukraine. Taking place in our \xe2\x80\x98twilight hours\xe2\x80\x99 \xe2\x80\x93 a magical time in the gallery. Proceeds go to the @decappeal \xf0\x9f\x92\x99\xf0\x9f\x92\x9b\nhttps://t.co/DRTzXQDjuT https://t.co/b24XB85Dc8'",1
62,"b""Maybe you know and maybe you don't know but alto of people are confused about it right now. Click to know more\n#StateOfTheUnion #HDWGH #StandingWithUkraine #Ukraine #Russia, #WHPA, Putin, https://t.co/X8ip4goPEX https://t.co/DJYa60YOAm""",0
63,b'#Ukraine claims it recaptured key town from Russian forces https://t.co/j6UhJphKFC  #UkraineInvasion #MoviesTvTj https://t.co/6sMJXl9B1N',0
64,"b'Biden pledged to \xe2\x80\x9cclose this period of relentless war\xe2\x80\x9d and initiate \xe2\x80\x9ca new era of relentless diplomacy.\xe2\x80\x9d Instead, he is carrying out the greatest military escalation since the war on terror. #UkraineRussianWar #Russia https://t.co/FlEVhioxlX'",0
65,b'Belarus is preparing to enter the war against #Ukraine invasion. Are you awake yet @NATO @jensstoltenberg @JoeBiden @PressSec https://t.co/VcmH3usMMT',0
66,"b""Zelensky HELP, actual help, 13.6 billion aid not stop missile slaughter! USA drags it's feet #ukraine #war, EU won't temp ban oil,  @OlafScholzRussia @EU_Commission used BELARUS to launch attack from north.\nXi said Russia-supported threats not wanted, Joe\n@JoeBiden \n@WhiteHouse""",0
67,b'https://t.co/x9rbfRbLdQ Those who discuss  #neonazi  #GennadiyDruzenko you need to see this too  #FahruddinSharamfal endorses Adolf #Eichmann to call for #genocide of #Russians on #UkrainianTV #RussianUkrainianWar',0
68,"b'More direct support to #Ukraine\xe2\x80\x99s defenders from #EU projects reorienting their activities: handed over more than 10 000 ready-to-eat meals to the State Border Guard Service of Ukraine, bought by #EU4IBM. Arrived today to Ukraine.\n\n#StandWithUkraine https://t.co/PJhlzGXGdA'",1
69,"b""Look back last 26 days. Russian\xf0\x9f\x87\xb7\xf0\x9f\x87\xba Federation Military efforts in freeing breakaway state, Ukraine from it's extremists. #Donbass #Russia\nHold ZeleausSki responsible.\nhttps://t.co/mv6s2Yqx8k""",1
70,"b""https://t.co/Fkuri0EPVn\n\nThe pro-Kremlin tabloid 'Komsomolskaya Pravda' revealed on March 21 that nearly 10,000 Russian troops had been killed in Ukraine's war, before hastily removing the information from its news portal. #RussianUkrainianWar""",0
71,b'Russian forces could become more isolated if Ukrainian troops consolidate gains https://t.co/NfShuchJIl #UkraineRussiaWar #UkraineRussianWar #Ukraine #UkraineRussia #UkraineUnderAtta\xd1\x81k #UkraineWar',0
72,b'[Updated from time to time] Military invasion of Russia and Ukraine (movement on the 23rd) - #military #ukraine #russia #moscow #kyiv https://t.co/daCV4oLpod',0
73,"b""Russia Navalny: Putin critic given nine-year jail sentence in trial branded 'sham' - #russia #moscow https://t.co/bfFYrsqPot""",0
74,"b"".@Foxnews with @SandraSmithFox &amp; @johnrobertsFox is pretty hard to watch. They're always 2 days behind what's actually happening on the ground, they only report what the State Dept says to say, that's State run propaganda! \n\nthe facts to be exposed in @IntlCrimCourt #Ukraine""",0
75,"b'Meet #Putler #Putin.\n\nSomehow he gained control \nof much of the world\xe2\x80\x99s \ntotal surface land area, \n&amp; used the privilege \nto *blast and burn*\n\nChildren\nHorses\nA WW2 Nazi Concentration camp survivor\n\nDisown him, #Russia\n\n#StandWithUkraine https://t.co/Rib9HcwpmA'",0
76,b'UK PM calls on India to to intensify efforts to promote peace and de-escalation\n@narendramodi @BorisJohnson #RussianUkrainianWar #RussiaUkraineConflict \nhttps://t.co/jNUFG4LNEg',1
77,b'Why a large-scale humanitarian operation in Ukraine is so difficult - #ukraine #kyiv https://t.co/yJgXTOaq54',0
78,"b'UN: 670,000 Israelis live in illegal settlements in Palestinian territories - #palestinian_territories #the_netherlands #united_kingdom #united_states #australia #israelis #germany #israel #canada #russia #india https://t.co/y4qKtO3oeP'",0
79,"b'Here in Israel, crowds continue to joyfully welcome refugees from #Ukraine. \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 \xf0\x9f\x87\xae\xf0\x9f\x87\xb1 https://t.co/1xctICSahd'",1
80,b'UK slams Russia after officials duped by hoax video calls - #international #russia #moscow #video #uk https://t.co/ofVfD5WHtc',0
81,b'Belorussian people understand how stupid this war is #Ukraine #\xd0\xa3\xd0\xba\xd1\x80\xd0\xb0\xd1\x97\xd0\xbd\xd0\xb0 #\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f #Russia #UkraineRussiaWar #StandWithUkraine #\xd0\xa1\xd0\xb2\xd0\xbe\xd0\xb8\xd1\x85\xd0\x9d\xd0\xb5\xd0\x91\xd1\x80\xd0\xbe\xd1\x81\xd0\xb0\xd0\xb5\xd0\xbc #UkraineUnderAttack #RussianUkrainianWar https://t.co/vnV0lwp2SS',0
82,"b""War in Ukraine: 'it was worse than a horror movie', they tell the hell of Mariupol - #mariupol #ukraine #europe #movie #hell #tell #than #kyiv #war https://t.co/OCyK8RttZQ""",0
83,b'\xf0\x9f\x94\xb4 #BREAKING         \n\nThe head of the administration of the Kyiv region: We cannot reach all those seeking help everywhere because of the battles and Russian bombing \n\n#Ukraine\xef\xb8\x8f  #Russia  #Kyiv  #EU #USA',0
84,b'@MaajidNawaz @TuckerCarlson \xf0\x9f\x9a\xa8 Victoria Nuland actually said all these things about NIOLABS NAZI #Russia #Ukraine https://t.co/1JGWwaNJ1i',0
85,b'Send a prayer for #Mariupol \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe God send your fighter angels to fly over #Ukraine Dear dearest God\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 We cry Abba Father!',1
86,"b'From a friend, whose girlfriend is Russian. According to her, the latest news in some Russian media outlets are that ""Kiev has been taken"" and that ""21 chemical weapon labs have been dismantled.""\n#Kyiv #Ukraine #Propaganda #Putin #PutinLies'",0
87,"b'A small country and its outnumbered air force and troops fight back against cruel invaders, but their nation is with them. Yes, it sounds like Israel in 1948, 1967 and 1973, but it is #Ukraine 2022. https://t.co/gdGaQkfJIO'",1
88,b'UN: At least 953 civilians killed in Ukraine - #ukraine #kyiv https://t.co/jXkPTBG60M',0
89,"b'PM Trudeau to visit Belgium to talk to EU, NATO, G7 over Russia-Ukraine crisis \n#Russia   #Ukraine   @JustinTrudeau   #BreakingNews \nhttps://t.co/1NjnNggnAR via @Publicist24'",1
90,b'But all the others who have died are just collateral damage? Every loss of life in #Ukraine right now is an appalling tragedy https://t.co/Eqha7icl6d',0
91,"b'#WarCrimes  #BorisRomanchenko survived atrocities of WW2, a horrific stain on history. #NEVERAGAIN they said. Today in 2022,  Boris was killed, by Russian artillery in an illegal war. RIP\xf0\x9f\x95\x8a#StopPutinNOW STOP the obliteration of #Ukraine  What if this was YOUR country? #WWYD ? https://t.co/sZJzeEDQnI'",0
92,"b'@WhiteHouse @POTUS I, together with most of the free world underestimated the breathtaking bravery, courage and resilience of the #Ukranian people. \nMore importantly though, so did #Putin and ""his"" #Russia'",1
93,"b'Russian serviceman surrenders tank to Ukraine after Kyiv offers $10,000 reward, citizenship prospects https://t.co/oAjHWgdrzz #Ukraine'",0
94,"b""Right after Putin strong-armed Belarus into an alliance - it was timed with July 4th bc we were busy at the BBQ- @ElonMusk was on this app joking abt flying Russian fighter jets.\nI don't care how he accessed them.\nI care about how nobody is watching this foreign asset. #Ukraine https://t.co/hE3BLQsX6A""",0
95,b'\xe2\x80\x9cMy mother has reported me today. This time I will not get away with just doing community service.\xe2\x80\x9d\n#NotJustPutin #NotAllRussians #RussianUkrainianWar #Russia #Russian #CloseTheSky #StopWarInUkraine #StopHatingRussians #UkraineRussianWar #WARINUKRAINE https://t.co/0Od1Jh1bwM',0
96,b'funny how that works out ...\n#Ukraine https://t.co/xFaOoZsINX',1
97,"b""Looks like #Putin has thrown every of type weapon at #Ukraine that #Russia has (except one) &amp; #Ukraine is still standing!  Yea, #hypersonic weapons are scary, BUT they carry only one warhead! A #B2 carries a 30 to 40!  WHAT'S NEXT!  #tcot #maga #LetsGoBrandon""",0
98,"b'The world\xe2\x80\x99s deadliest war isn\xe2\x80\x99t in #Ukraine, but in #Tigray  where Ethiopia &amp; Eritrea have been committing #WarCrimes \n\n@StateDept @SenateForeign @HouseForeign @BradSherman @RepGregoryMeeks @RepMalinowski @ChrisCoons @SenBooker @SenatorMenendez @eu_eeas\nhttps://t.co/rngzfHjIzo'",0
99,b'CNN\xe2\x80\x99s Clarissa Ward interviews a citizen of #Ukraine in a subway station which is now a Bomb Shelter \nhttps://t.co/J8JzY9TsGh 06',0
100,b'\xf0\x9f\x9a\xa8 TikToker arrested after posting clip of Ukrainian military vehicles parked near a mall that #Russia later blew up',0
101,"b'@BertShowBert I couldn\xe2\x80\x99t love you more. Even if it doesn\xe2\x80\x99t happen, just the IDEA is incredible. #ukraine #HomesForUkraine'",1
102,b'Ukrainian soldier firing a RK-3 Corsar ATGM in #Kyiv  Oblast. \n#Ukraine\xef\xb8\x8f #Ukrainians #Ukrainian #Ukraina #Russian #RussianUkrainianWar #Russia #UkrainRussiaWar https://t.co/D5w2lg65Gr',0
103,b'@lesiavasylenko #Turkey is selling TB2 to #Ukraine while sponsoring @Aeroflot_World https://t.co/YUYaLndwCf',0
104,"b'Modi, Johnson discuss Ukraine situation, bilateral issues  https://t.co/VfNHmp4CM5 #NarendraModi #BorisJohnson #Ukraine #BilateralIssues #India #UnitedKingdom @netindian'",0
105,"b""Windows in the airport in #Mariupol, #Ukraine were blown out by #Russia's relentless shelling of the city. https://t.co/1I2Y9rgNIQ""",0
106,"b'.@GharibashviliGe:Those rallies held in Tbilisi are unacceptable. They were organized by \xe2\x80\x9canti-state, anti-national, treacherous\xe2\x80\x9d groups.\n\n@ZelenskyyUa: Grateful to everyone\nin #Tbilisi who came out to support of #Ukraine. There are times\nwhen citizens are better than\nGovernment. https://t.co/jTshqJhfSz'",0
107,b'@welt This is how #Russia is \xe2\x80\x9edenazifying\xe2\x80\x9d #Ukraine:\n\nhttps://t.co/AFRzMPQtix\n\nhttps://t.co/bhGFmE4IlN\n\n#WarCrime #PutinWarCriminal https://t.co/f4ILt6xvjj',0
108,b'The latest The Alan Fisher Daily! https://t.co/1QRvRXi8aw Thanks to @jayrosen_nyu @TheRickWilson @AJEnglish #ukraine #afcon2021',1
109,b'@_ThisIsSparta_ Soon you will bored by these silly fake claims and move on to next piece of nonsense.Russian propaganda and disinformation no longer works. At all! #ukraine',0
110,b'@thehill @TheHillOpinion Help speed up the process to welcome refugees from #Ukraine to the U.S. please sign&amp;share https://t.co/o53FvEksic\n#StandWithUkraine #refugeesfromUkraine',0
111,b'A professor at the Lebanese International University says Western capitals are reluctant to respond militarily to the #Ukraine crisis as they know the rules of military balance. #Russia #USA #UK #France #China #NATO #Iraq #Afghanistan #Syria #Yemen #Libya \nhttps://t.co/KmwP5TnrsD',0
112,b'Help #Ukraine animals or share (#SharingIsCaring too if you can\xc2\xb4t donate like me):\nhttps://t.co/BbL1wqjgmz https://t.co/nUw07nfm2o',1
113,b'Thank you to this amazing team of COPE 397 Members at the SGI Injury Claims Department! \n\n#UKRAINE #REDCROSS #NOTOWAR https://t.co/An1W2e79SP',1
114,b'UK PM Boris Johnson Speaks to PM Modi on Russia-Ukraine .\n\n#Ukraine #RussiaUkraineConflict \n\nRead: https://t.co/GXSCfNnLby https://t.co/c1BssLI4mz',1
115,b'#ImNotARacistBut \xe2\x80\xa6. Justifying #PutinsWar minimising it by parroting FSB infowar prop on #NaziUkraine like one militia represents the Ukrainian people.Blaming the West for #PutinWarCrimes Denying #Ukraine independence over a puppet regime in 2014 while Crimean Tatars are ignored',0
116,b'#Russia fire missiles in to #Belarus  who blamed #Ukraine and enter the war with Russia #KremlinPlaybook #Ukraine-Russia #NATO',0
117,"b'A Crewe man who carried medical kits in his car all the way to Ukraine is planning to do it again, tomorrow (March 23). \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x91\x8f\n\nSteve Bratherton spoke to Crewe Nub News Today. \xe2\x9c\x85\xef\xb8\x8f\n\nRead all about it here... \xf0\x9f\x91\x87\n\n#Ukraine #mission #supplies #donation #Crewe\n\nhttps://t.co/zuv3EqxKI6'",1
118,b'Davos 2020 was where #Zelensky begged for investments in #Ukraine and #TheFutureofNATO was discussed featuring the Secretary-General of @NATO and #AndrzejDuda. Not only was #Russia mentioned but #cyberattacks as well. https://t.co/i28GYr78R2 #WEF #TuesdayThoughts #CyberAttacks',0
119,b'\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 LSP @Interpretersunl is putting a call out to offer language service assistance at no charge to Ukrainians who are in extreme and urgent need.\n\nVia @multilingualmag \n\nhttps://t.co/yiCAgKK14W\n#xl8 #t9n #1nt #interpreting #translation #StandWithUkraine #Ukraine',1
120,b'check out my services on fiver you will definitely like the quality and prizes of my services...!!! \n\nAmazon Virtual Assistant\nhttps://t.co/tdigkD1qpb\n#amazon #virtualassistant #BoycottMcDonalds\n#queretaroAtlas\n#Wordle260\n#SeductiveSunday\n#Russophobia\n#Ukraine #wordle260',1
121,b'European countries seize yachts and ships of Russian oligarchs as sanctions take effect!\n\n#Russia #Ukraine #RussiaUkraineWar https://t.co/nxOjegVht8',0
122,b'RT\n\nDoes Europe still believe that Russia\xe2\x80\x98s war against Ukraine is a \xe2\x80\x9elocal conflict\xe2\x80\x9c and nothing threatens Europe? Then listen what russian propagandists say and what plans they have\n\n#Ukraine #RussiaInvadedUkraine #RussianUkrainianWar https://t.co/oPnTVUZZp1',0
123,"b""Rally in support of Russian military personnel held in Syria's Latakia\n\n#Latakia #Syria #Russia #UkrainianCrisis https://t.co/AqjaiQFCmO""",1
124,"b'icao24: #781caa, callsign: #CCA628  \nOrigin Country: #China\nFirst Spotted in #Russia @ ~05:55EST\nNow Spotted in #China @ ~13:05EST https://t.co/2MJXexNywS'",1
125,b'@POTUS @BorisJohnson @UN @NATO @EU_Commission it\xe2\x80\x99s time to broaden &amp; tighten the sanctions on #Russia AND its close trading partners. Create a financial blockade. Let them know if they do a deal with the Devil they should expect to go to hell. Unleash the FULL MIGHT of sanctions',0
